[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54882 	 time: 	 4.6697 	 chachingFFE: 	 2028655	 chachingPop: 	 1246463	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54924 	 time: 	 4.7141 	 chachingFFE: 	 2047513	 chachingPop: 	 1257563	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54984 	 time: 	 4.7563 	 chachingFFE: 	 2066436	 chachingPop: 	 1268580	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55023 	 time: 	 4.8010 	 chachingFFE: 	 2085239	 chachingPop: 	 1279738	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55059 	 time: 	 4.8468 	 chachingFFE: 	 2104144	 chachingPop: 	 1290797	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55100 	 time: 	 4.8873 	 chachingFFE: 	 2123001	 chachingPop: 	 1301899	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55135 	 time: 	 4.9324 	 chachingFFE: 	 2141673	 chachingPop: 	 1313192	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55173 	 time: 	 4.9743 	 chachingFFE: 	 2160448	 chachingPop: 	 1324379	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55202 	 time: 	 5.0195 	 chachingFFE: 	 2179219	 chachingPop: 	 1335579	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55228 	 time: 	 5.0613 	 chachingFFE: 	 2198215	 chachingPop: 	 1346557	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55245 	 time: 	 5.0973 	 chachingFFE: 	 2216787	 chachingPop: 	 1357968	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55258 	 time: 	 5.1308 	 chachingFFE: 	 2235373	 chachingPop: 	 1369369	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55279 	 time: 	 5.1700 	 chachingFFE: 	 2254305	 chachingPop: 	 1380416	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55301 	 time: 	 5.2034 	 chachingFFE: 	 2272846	 chachingPop: 	 1391853	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55322 	 time: 	 5.2344 	 chachingFFE: 	 2291592	 chachingPop: 	 1403086	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55346 	 time: 	 5.2725 	 chachingFFE: 	 2310173	 chachingPop: 	 1414481	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55373 	 time: 	 5.3141 	 chachingFFE: 	 2328887	 chachingPop: 	 1425740	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55414 	 time: 	 5.3556 	 chachingFFE: 	 2347531	 chachingPop: 	 1437055	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55438 	 time: 	 5.4003 	 chachingFFE: 	 2366287	 chachingPop: 	 1448275	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55486 	 time: 	 5.4399 	 chachingFFE: 	 2384933	 chachingPop: 	 1459581	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55510 	 time: 	 5.4806 	 chachingFFE: 	 2403686	 chachingPop: 	 1470804	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55550 	 time: 	 5.5202 	 chachingFFE: 	 2422390	 chachingPop: 	 1482060	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55590 	 time: 	 5.5568 	 chachingFFE: 	 2440967	 chachingPop: 	 1493443	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55610 	 time: 	 5.5899 	 chachingFFE: 	 2459689	 chachingPop: 	 1504701	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55640 	 time: 	 5.6314 	 chachingFFE: 	 2478278	 chachingPop: 	 1516082	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55656 	 time: 	 5.6719 	 chachingFFE: 	 2497088	 chachingPop: 	 1527256	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55673 	 time: 	 5.7142 	 chachingFFE: 	 2515756	 chachingPop: 	 1538571	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55707 	 time: 	 5.7558 	 chachingFFE: 	 2534570	 chachingPop: 	 1549723	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55741 	 time: 	 5.7969 	 chachingFFE: 	 2553349	 chachingPop: 	 1560910	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55768 	 time: 	 5.8355 	 chachingFFE: 	 2572077	 chachingPop: 	 1572155	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55793 	 time: 	 5.8745 	 chachingFFE: 	 2590863	 chachingPop: 	 1583344	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55821 	 time: 	 5.9117 	 chachingFFE: 	 2609565	 chachingPop: 	 1594614	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55855 	 time: 	 5.9510 	 chachingFFE: 	 2628350	 chachingPop: 	 1605795	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 55884 	 time: 	 5.9870 	 chachingFFE: 	 2647206	 chachingPop: 	 1616910	NoFFEiter:	 0
